seq_available,week,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,B.1.617.1_count,B.1.617.1_proportion,B.1.617.2_count,B.1.617.2_proportion,P.1_count,P.1_proportion,total_count
2021-05-12,1,4,2.0,0,0.0,0.0,0.0,0,0.0,0,0.0,200
2021-05-12,2,47,8.3,2,0.4,0.0,0.0,0,0.0,0,0.0,566
2021-05-12,3,79,4.7,11,0.7,0.0,0.0,0,0.0,0,0.0,1681
2021-05-12,4,273,10.2,12,0.4,0.0,0.0,0,0.0,0,0.0,2676
2021-05-12,5,549,17.8,22,0.7,0.0,0.0,0,0.0,0,0.0,3084
2021-05-12,6,698,20.8,19,0.6,0.0,0.0,0,0.0,6,0.2,3356
2021-05-12,7,1197,32.8,20,0.5,0.0,0.0,0,0.0,6,0.2,3649
2021-05-12,8,1886,44.1,33,0.8,0.0,0.0,0,0.0,2,0.0,4277
2021-05-12,9,1953,52.7,68,1.8,5.0,0.1,0,0.0,8,0.2,3706
2021-05-12,10,2497,64.7,71,1.8,1.0,0.0,0,0.0,4,0.1,3859
2021-05-12,11,3054,74.3,48,1.2,2.0,0.0,0,0.0,8,0.2,4110
2021-05-12,12,2915,80.3,56,1.5,2.0,0.1,1,0.0,0,0.0,3630
2021-05-12,13,3263,87.0,49,1.3,0.0,0.0,0,0.0,8,0.2,3751
2021-05-12,14,3329,88.5,74,2.0,3.0,0.1,1,0.0,10,0.3,3762
2021-05-12,15,3652,88.9,83,2.0,8.0,0.2,3,0.1,11,0.3,4108
2021-05-12,16,3869,91.1,41,1.0,18.0,0.4,15,0.4,14,0.3,4247
2021-05-12,17,1860,91.7,12,0.6,12.0,0.6,19,0.9,10,0.5,2028
2021-05-19,1,4,2.0,0,0.0,0.0,0.0,0,0.0,0,0.0,200
2021-05-19,2,51,8.9,2,0.3,0.0,0.0,0,0.0,0,0.0,573
2021-05-19,3,89,5.2,12,0.7,0.0,0.0,0,0.0,0,0.0,1712
2021-05-19,4,278,10.4,13,0.5,0.0,0.0,0,0.0,0,0.0,2673
2021-05-19,5,551,17.8,24,0.8,0.0,0.0,0,0.0,0,0.0,3096
2021-05-19,6,698,20.8,19,0.6,0.0,0.0,0,0.0,6,0.2,3356
2021-05-19,7,1198,32.8,21,0.6,0.0,0.0,0,0.0,6,0.2,3652
2021-05-19,8,1888,44.1,33,0.8,0.0,0.0,0,0.0,2,0.0,4281
2021-05-19,9,1955,52.7,68,1.8,1.0,0.0,0,0.0,8,0.2,3710
2021-05-19,10,2505,64.7,72,1.9,1.0,0.0,0,0.0,4,0.1,3872
2021-05-19,11,3054,74.3,48,1.2,2.0,0.0,0,0.0,8,0.2,4110
2021-05-19,12,2915,80.3,56,1.5,2.0,0.1,1,0.0,0,0.0,3630
2021-05-19,13,3269,87.1,49,1.3,0.0,0.0,0,0.0,8,0.2,3753
2021-05-19,14,3475,88.7,74,1.9,2.0,0.1,2,0.1,9,0.2,3918
2021-05-19,15,3664,88.8,83,2.0,5.0,0.1,5,0.1,11,0.3,4126
2021-05-19,16,4088,91.3,42,0.9,11.0,0.2,24,0.5,16,0.4,4478
2021-05-19,17,2825,90.8,21,0.7,7.0,0.2,32,1.0,31,1.0,3111
2021-05-19,18,2036,86.8,70,3.0,10.0,0.4,37,1.6,8,0.3,2346
2021-05-26,1,5,2.2,0,0.0,0.0,0.0,0,0.0,0,0.0,227
2021-05-26,2,51,8.6,2,0.3,0.0,0.0,0,0.0,0,0.0,593
2021-05-26,3,91,5.3,12,0.7,0.0,0.0,0,0.0,0,0.0,1717
2021-05-26,4,282,10.5,13,0.5,0.0,0.0,0,0.0,0,0.0,2686
2021-05-26,5,553,17.8,24,0.8,0.0,0.0,0,0.0,0,0.0,3107
2021-05-26,6,708,21.0,19,0.6,0.0,0.0,0,0.0,6,0.2,3371
2021-05-26,7,1213,33.0,21,0.6,0.0,0.0,0,0.0,6,0.2,3676
2021-05-26,8,1888,44.1,33,0.8,0.0,0.0,0,0.0,2,0.0,4281
2021-05-26,9,1965,52.8,69,1.9,1.0,0.0,0,0.0,8,0.2,3722
2021-05-26,10,2505,64.7,72,1.9,1.0,0.0,0,0.0,4,0.1,3872
2021-05-26,11,3058,74.3,48,1.2,2.0,0.0,0,0.0,8,0.2,4116
2021-05-26,12,2936,80.3,56,1.5,2.0,0.1,1,0.0,0,0.0,3656
2021-05-26,13,3293,87.1,49,1.3,0.0,0.0,0,0.0,8,0.2,3781
2021-05-26,14,3515,88.8,74,1.9,3.0,0.1,2,0.1,9,0.2,3958
2021-05-26,15,3795,89.0,85,2.0,5.0,0.1,5,0.1,11,0.3,4264
2021-05-26,16,4260,91.1,45,1.0,11.0,0.2,30,0.6,17,0.4,4676
2021-05-26,17,3274,90.3,27,0.7,16.0,0.4,51,1.4,38,1.0,3626
2021-05-26,18,3765,86.9,102,2.4,18.0,0.4,82,1.9,37,0.9,4333
2021-05-26,19,1611,90.0,19,1.1,0.0,0.0,40,2.2,6,0.3,1790
2021-06-02,1,5,2.2,0,0.0,,,0,0.0,0,0.0,227
2021-06-02,2,52,8.5,6,1.0,,,0,0.0,0,0.0,612
2021-06-02,3,96,5.4,12,0.7,,,0,0.0,0,0.0,1778
2021-06-02,4,282,10.4,13,0.5,,,0,0.0,0,0.0,2712
2021-06-02,5,554,17.8,24,0.8,,,0,0.0,0,0.0,3112
2021-06-02,6,712,21.0,19,0.6,,,0,0.0,6,0.2,3390
2021-06-02,7,1218,33.1,21,0.6,,,0,0.0,6,0.2,3680
2021-06-02,8,1891,44.1,34,0.8,,,0,0.0,2,0.0,4288
2021-06-02,9,1965,52.8,69,1.9,,,0,0.0,8,0.2,3722
2021-06-02,10,2506,64.8,72,1.9,,,0,0.0,4,0.1,3867
2021-06-02,11,3059,74.3,49,1.2,,,0,0.0,8,0.2,4117
2021-06-02,12,2936,80.3,56,1.5,,,1,0.0,0,0.0,3656
2021-06-02,13,3293,87.1,49,1.3,,,0,0.0,8,0.2,3781
2021-06-02,14,3519,88.8,74,1.9,,,2,0.1,9,0.2,3963
2021-06-02,15,3796,88.7,85,2.0,,,5,0.1,11,0.3,4280
2021-06-02,16,4264,91.0,45,1.0,,,30,0.6,17,0.4,4686
2021-06-02,17,3303,90.2,28,0.8,,,55,1.5,38,1.0,3662
2021-06-02,18,4128,87.1,117,2.5,,,86,1.8,43,0.9,4739
2021-06-02,19,2819,88.2,40,1.3,,,78,2.4,14,0.4,3196
2021-06-02,20,1336,93.4,11,0.8,,,30,2.1,10,0.7,1430
2021-06-09,1,5,2.2,0,0.0,,,0,0.0,0,0.0,227
2021-06-09,2,52,8.5,7,1.1,,,0,0.0,0,0.0,612
2021-06-09,3,97,5.5,12,0.7,,,0,0.0,0,0.0,1764
2021-06-09,4,284,10.5,13,0.5,,,0,0.0,0,0.0,2705
2021-06-09,5,553,17.8,24,0.8,,,0,0.0,0,0.0,3107
2021-06-09,6,711,21.0,19,0.6,,,0,0.0,1,0.0,3386
2021-06-09,7,1201,32.6,19,0.5,,,0,0.0,1,0.0,3684
2021-06-09,8,1890,44.1,35,0.8,,,0,0.0,1,0.0,4286
2021-06-09,9,1959,52.6,68,1.8,,,0,0.0,2,0.1,3724
2021-06-09,10,2498,64.5,72,1.9,,,0,0.0,0,0.0,3873
2021-06-09,11,3049,74.1,49,1.2,,,0,0.0,4,0.1,4115
2021-06-09,12,2921,79.9,53,1.4,,,1,0.0,0,0.0,3656
2021-06-09,13,3286,86.9,48,1.3,,,0,0.0,7,0.2,3781
2021-06-09,14,3500,88.2,71,1.8,,,2,0.1,2,0.1,3968
2021-06-09,15,3969,88.9,82,1.8,,,5,0.1,10,0.2,4465
2021-06-09,16,4412,90.8,42,0.9,,,31,0.6,9,0.2,4859
2021-06-09,17,3511,90.0,28,0.7,,,55,1.4,21,0.5,3901
2021-06-09,18,4257,87.1,118,2.4,,,86,1.8,18,0.4,4887
2021-06-09,19,3261,88.5,39,1.1,,,93,2.5,6,0.2,3685
2021-06-09,20,3119,90.2,25,0.7,,,108,3.1,23,0.7,3458
2021-06-09,21,1286,93.6,6,0.4,,,34,2.5,2,0.1,1374
2021-06-16,1,5,2.2,0,0.0,,,0,0.0,0,0.0,227
2021-06-16,2,52,8.5,7,1.1,,,0,0.0,0,0.0,612
2021-06-16,3,96,5.4,12,0.7,,,0,0.0,0,0.0,1778
2021-06-16,4,285,10.6,13,0.5,,,0,0.0,0,0.0,2689
2021-06-16,5,557,17.9,24,0.8,,,0,0.0,0,0.0,3112
2021-06-16,6,712,21.0,19,0.6,,,0,0.0,1,0.0,3390
2021-06-16,7,1201,32.6,19,0.5,,,0,0.0,1,0.0,3684
2021-06-16,8,1887,44.0,35,0.8,,,0,0.0,0,0.0,4289
2021-06-16,9,1926,51.7,68,1.8,,,0,0.0,1,0.0,3725
2021-06-16,10,2495,64.5,72,1.9,,,0,0.0,0,0.0,3868
2021-06-16,11,3051,74.1,50,1.2,,,0,0.0,3,0.1,4117
2021-06-16,12,2923,79.9,53,1.4,,,1,0.0,0,0.0,3658
2021-06-16,13,3286,86.9,48,1.3,,,0,0.0,6,0.2,3781
2021-06-16,14,3498,88.0,71,1.8,,,2,0.1,2,0.1,3975
2021-06-16,15,3977,88.8,83,1.9,,,6,0.1,6,0.1,4479
2021-06-16,16,4420,90.7,44,0.9,,,32,0.7,4,0.1,4873
2021-06-16,17,3518,90.0,30,0.8,,,55,1.4,4,0.1,3909
2021-06-16,18,4271,87.0,124,2.5,,,86,1.8,10,0.2,4909
2021-06-16,19,3303,88.5,45,1.2,,,92,2.5,3,0.1,3732
2021-06-16,20,3241,90.1,26,0.7,,,114,3.2,11,0.3,3597
2021-06-16,21,2148,89.9,15,0.6,,,89,3.7,6,0.3,2389
2021-06-16,22,1052,86.4,2,0.2,,,75,6.2,7,0.6,1218
2021-06-23,1,5,2.2,0,0.0,,,0,0.0,0,0.0,227
2021-06-23,2,52,8.5,7,1.1,,,0,0.0,0,0.0,612
2021-06-23,3,96,5.4,12,0.7,,,0,0.0,0,0.0,1778
2021-06-23,4,285,10.6,13,0.5,,,0,0.0,0,0.0,2689
2021-06-23,5,557,17.9,24,0.8,,,0,0.0,0,0.0,3112
2021-06-23,6,712,21.0,19,0.6,,,0,0.0,6,0.1,3390
2021-06-23,7,1201,32.6,19,0.5,,,0,0.0,6,0.1,3684
2021-06-23,8,1887,44.0,35,0.8,,,0,0.0,2,0.0,4289
2021-06-23,9,1926,51.7,68,1.8,,,0,0.0,9,0.2,3725
2021-06-23,10,2495,64.5,72,1.9,,,0,0.0,4,0.1,3868
2021-06-23,11,3051,74.1,50,1.2,,,0,0.0,7,0.2,4117
2021-06-23,12,2923,79.9,54,1.4,,,1,0.0,0,0.0,3658
2021-06-23,13,3286,86.9,49,1.3,,,0,0.0,8,0.3,3781
2021-06-23,14,3506,88.0,74,1.9,,,2,0.1,9,0.3,3984
2021-06-23,15,3988,88.8,89,1.9,,,6,0.1,10,0.2,4491
2021-06-23,16,4420,90.7,47,0.9,,,32,0.7,17,0.4,4873
2021-06-23,17,3523,90.1,32,0.8,,,55,1.4,36,0.9,3910
2021-06-23,18,4271,87.0,126,2.5,,,88,1.8,41,0.8,4909
2021-06-23,19,3317,88.4,52,1.4,,,92,2.5,16,0.4,3752
2021-06-23,20,3452,90.4,29,0.7,,,119,3.1,17,0.5,3819
2021-06-23,21,2418,90.1,16,0.6,,,97,3.6,16,0.6,2684
2021-06-23,22,1589,83.5,8,0.4,,,151,7.9,16,0.8,1903
2021-06-23,23,570,74.1,5,0.7,,,116,15.1,5,0.7,769
2021-06-30,1,5,2.1,0,0.0,,,0,0.0,0,0.0,238
2021-06-30,2,54,8.8,8,1.3,,,0,0.0,0,0.0,614
2021-06-30,3,96,5.4,12,0.7,,,0,0.0,0,0.0,1778
2021-06-30,4,283,10.5,13,0.5,,,0,0.0,0,0.0,2695
2021-06-30,5,552,17.7,24,0.8,,,0,0.0,0,0.0,3119
2021-06-30,6,709,20.9,19,0.6,,,0,0.0,6,0.1,3392
2021-06-30,7,1200,32.6,21,0.6,,,0,0.0,6,0.1,3681
2021-06-30,8,1891,44.1,35,0.8,,,0,0.0,2,0.0,4288
2021-06-30,9,1963,52.7,69,1.9,,,0,0.0,10,0.3,3725
2021-06-30,10,2503,64.7,72,1.9,,,0,0.0,4,0.1,3869
2021-06-30,11,3053,74.1,49,1.2,,,0,0.0,8,0.2,4120
2021-06-30,12,2933,80.2,57,1.5,,,1,0.0,0,0.0,3657
2021-06-30,13,3290,87.0,49,1.3,,,0,0.0,8,0.3,3782
2021-06-30,14,3534,88.7,75,1.9,,,2,0.1,10,0.3,3984
2021-06-30,15,3999,89.0,89,1.9,,,6,0.1,11,0.3,4493
2021-06-30,16,4440,91.1,46,0.9,,,34,0.7,17,0.4,4874
2021-06-30,17,3537,90.4,30,0.7,,,55,1.4,41,1.0,3913
2021-06-30,18,4279,87.1,126,2.5,,,89,1.8,44,0.9,4913
2021-06-30,19,3491,89.0,51,1.3,,,101,2.6,16,0.4,3922
2021-06-30,20,3616,91.2,29,0.7,,,119,3.0,29,0.8,3965
2021-06-30,21,2574,90.9,16,0.6,,,102,3.6,24,0.8,2832
2021-06-30,22,1892,84.5,9,0.4,,,177,7.9,21,0.9,2239
2021-06-30,23,1040,74.4,6,0.4,,,238,17.0,16,1.2,1398
2021-06-30,24,338,54.9,4,0.6,,,226,36.7,8,1.3,616
2021-07-07,1,5,2.1,0,0.0,,,0,0.0,0,0.0,238
2021-07-07,2,54,8.8,8,1.3,,,0,0.0,0,0.0,614
2021-07-07,3,96,5.4,12,0.7,,,0,0.0,0,0.0,1778
2021-07-07,4,283,10.5,13,0.5,,,0,0.0,0,0.0,2695
2021-07-07,5,553,17.7,24,0.8,,,1,0.0,0,0.0,3124
2021-07-07,6,709,20.9,19,0.6,,,0,0.0,6,0.2,3392
2021-07-07,7,1200,32.6,21,0.6,,,0,0.0,6,0.2,3681
2021-07-07,8,1891,44.1,35,0.8,,,0,0.0,2,0.0,4288
2021-07-07,9,1963,52.7,69,1.9,,,0,0.0,10,0.3,3725
2021-07-07,10,2503,64.7,72,1.9,,,0,0.0,4,0.1,3869
2021-07-07,11,3054,74.1,49,1.2,,,0,0.0,8,0.2,4121
2021-07-07,12,2934,80.2,57,1.6,,,1,0.0,0,0.0,3658
2021-07-07,13,3290,87.0,49,1.3,,,0,0.0,8,0.2,3782
2021-07-07,14,3536,88.7,75,1.9,,,2,0.1,10,0.3,3986
2021-07-07,15,3999,89.0,89,2.0,,,6,0.1,11,0.2,4493
2021-07-07,16,4440,91.1,46,0.9,,,34,0.7,17,0.3,4874
2021-07-07,17,3538,90.4,30,0.8,,,55,1.4,41,1.0,3914
2021-07-07,18,4285,87.1,126,2.6,,,89,1.8,44,0.9,4920
2021-07-07,19,3520,89.0,51,1.3,,,101,2.6,16,0.4,3955
2021-07-07,20,3647,91.2,30,0.8,,,119,3.0,29,0.7,3999
2021-07-07,21,2627,90.8,19,0.7,,,102,3.5,24,0.8,2893
2021-07-07,22,1966,84.3,11,0.5,,,181,7.8,23,1.0,2332
2021-07-07,23,1164,74.4,6,0.4,,,267,17.1,23,1.5,1565
2021-07-07,24,480,55.0,9,1.0,,,321,36.8,13,1.5,873
2021-07-07,25,161,33.3,0,0.0,,,287,59.4,4,0.8,483
2021-07-14,1,5,2.1,0,0.0,,,0,0.0,0,0.0,238
2021-07-14,2,54,8.8,8,1.3,,,0,0.0,0,0.0,614
2021-07-14,3,96,5.4,12,0.7,,,0,0.0,0,0.0,1778
2021-07-14,4,283,10.5,13,0.5,,,0,0.0,0,0.0,2695
2021-07-14,5,553,17.7,24,0.8,,,1,0.0,0,0.0,3124
2021-07-14,6,709,20.9,19,0.6,,,0,0.0,6,0.2,3392
2021-07-14,7,1200,32.6,21,0.6,,,0,0.0,6,0.2,3681
2021-07-14,8,1891,44.1,35,0.8,,,0,0.0,2,0.0,4288
2021-07-14,9,1963,52.7,69,1.9,,,0,0.0,10,0.3,3725
2021-07-14,10,2503,64.7,72,1.9,,,0,0.0,4,0.1,3869
2021-07-14,11,3054,74.1,49,1.2,,,0,0.0,8,0.2,4121
2021-07-14,12,2934,80.2,57,1.6,,,1,0.0,0,0.0,3658
2021-07-14,13,3290,87.0,49,1.3,,,0,0.0,8,0.2,3782
2021-07-14,14,3536,88.7,75,1.9,,,2,0.1,10,0.3,3986
2021-07-14,15,3999,89.0,89,2.0,,,6,0.1,11,0.2,4493
2021-07-14,16,4440,91.1,46,0.9,,,34,0.7,17,0.3,4874
2021-07-14,17,3538,90.4,30,0.8,,,55,1.4,41,1.0,3914
2021-07-14,18,4285,87.1,126,2.6,,,89,1.8,44,0.9,4920
2021-07-14,19,3520,89.0,51,1.3,,,101,2.6,16,0.4,3955
2021-07-14,20,3647,91.2,30,0.8,,,119,3.0,29,0.7,3999
2021-07-14,21,2627,90.8,19,0.7,,,102,3.5,24,0.8,2893
2021-07-14,22,1967,84.3,11,0.5,,,181,7.8,23,1.0,2333
2021-07-14,23,1177,73.9,6,0.4,,,279,17.5,23,1.4,1593
2021-07-14,24,505,52.4,10,1.0,,,379,39.3,13,1.3,964
2021-07-14,25,226,31.7,3,0.4,,,428,60.1,7,1.0,712
2021-07-14,26,118,21.5,0,0.0,,,407,74.0,9,1.6,550
2021-07-22,1,5,2.1,0,0.0,,,0,0.0,0,0.0,238
2021-07-22,2,54,8.8,8,1.3,,,0,0.0,0,0.0,614
2021-07-22,3,96,5.4,12,0.7,,,0,0.0,0,0.0,1778
2021-07-22,4,283,10.5,13,0.5,,,0,0.0,0,0.0,2695
2021-07-22,5,555,17.8,24,0.8,,,1,0.0,0,0.0,3118
2021-07-22,6,710,21.0,19,0.6,,,0,0.0,6,0.2,3381
2021-07-22,7,1218,33.1,21,0.6,,,0,0.0,6,0.2,3680
2021-07-22,8,1892,44.1,35,0.8,,,0,0.0,2,0.0,4290
2021-07-22,9,1963,52.7,69,1.9,,,0,0.0,8,0.2,3725
2021-07-22,10,2499,64.6,72,1.9,,,0,0.0,4,0.1,3868
2021-07-22,11,3053,74.1,49,1.2,,,0,0.0,8,0.2,4120
2021-07-22,12,2936,80.3,57,1.6,,,1,0.0,0,0.0,3656
2021-07-22,13,3289,87.0,50,1.3,,,0,0.0,8,0.2,3780
2021-07-22,14,3537,88.8,77,1.9,,,2,0.1,10,0.3,3983
2021-07-22,15,4001,89.1,90,2.0,,,6,0.1,11,0.2,4490
2021-07-22,16,4442,91.2,46,0.9,,,34,0.7,17,0.3,4871
2021-07-22,17,3542,90.5,30,0.8,,,54,1.4,41,1.0,3914
2021-07-22,18,4287,87.2,127,2.6,,,89,1.8,44,0.9,4916
2021-07-22,19,3520,89.0,51,1.3,,,101,2.6,16,0.4,3955
2021-07-22,20,3640,91.0,29,0.7,,,119,3.0,29,0.7,4000
2021-07-22,21,2633,90.9,19,0.7,,,102,3.5,24,0.8,2897
2021-07-22,22,1972,84.5,11,0.5,,,180,7.7,23,1.0,2334
2021-07-22,23,1194,73.9,7,0.4,,,287,17.8,24,1.5,1616
2021-07-22,24,523,52.5,10,1.0,,,390,39.1,14,1.4,996
2021-07-22,25,243,32.7,3,0.4,,,443,59.6,7,0.9,743
2021-07-22,26,153,19.6,0,0.0,,,592,76.0,14,1.8,779
2021-07-22,27,58,12.2,0,0.0,,,399,83.8,11,2.3,476
